,Questions,Answers
1324,ባቢሌ የዝሆኖች መጠለያን የሚካፈሉት ክልሎች እነማን ናቸው?,”በሶማሌያ ብሔራዊ ክልላዊ መንግሥት” ሥር ሲካለል፤ ቀሪው ፳፫ ከመቶ ያህሉ ደግሞ ”በኦሮሚያ ብሔራዊ ክልላዊ መንግሥት”
1325,ባቢሌ የዝሆኖች መጠለያ ከአዲስ አበባ በስንት ኪሎ ሜትር ርቀት ላይ ይገኛል።?,፭መቶ ፶ ኪሎ ሜትር
1326,በምሥራቅ አፍሪካ ብቻ የሚገኙትን “ሎክሶዳንታ አፍሪካና ኦርሊያንሲ” የተባሉትን ንዑስ የዝሆን ዝርያ ለማልማትና ለመጠበቅ የተዘጋጀው መጠለያው ምን ይባላል?,ባቢሌ የዝሆኖች መጠለያ
1327,የባቢሌ የዝሆኖች መጠለያ ጠቅላላ ስፋት ስንት ነው?,፮ሺ ፱መቶ ፹፪ ካሬ-ሜትር
1328,ሰቆጣ የማን መቀመጫ ነበረች?,ላስታን በዋግ ሹም ማዕረግ ያስተዳደሩ ገዢዎች
1329,ከ1956 ጀምሮ የዋግ አውራጃ ማዕከል እና የሰቆጣ ወረዳ ዋና ከተማ ማን ናት?,ሰቆጣ
1330,ከሰቆጣ ምን ያህል ርቆ የውቅሮ መስቀል ክርስቶስ አለት ውቅር ቤተክርስቲያን ይገኛል?,6 ኪሎ ሜትር
1331,ኩባር የተሰኘው የጥንቱ የኢትዮጵያ ገናና ማዕከል የት ይገኛል?,ሰቆጣ
1332,ሰቆጣ መቼ ነዉ የኢትዮጵያ ዋና ከተማ የነበረችው?,ከአክሱም  መዳከም በኋላ
1333,በኢትዮጵያ ከሚገኙት አምስቱ ነጋድራሶች መካከል በሰቆጣ የነበረው ማነው?,ዋልተር ፕላውዴን
1334,በሰቆጣ የነበረዉ ትልቁ ግብይት ምንድን ነዉ?,የዝሆን ጥርስ እና በቅሎ
1335,ጣሊያኖች በሰቆጣ ላይ የመርዝ ጋዝ ቦምብ የጣሉት መቼ ነው?,ጥር 2፣ 1929
1336,የከተራ በዓል መች ይከበራል? ,ጥር ፲ ቀን
1337,ኤጲፋንያ ምን ማለት ነዉ?,መገለጥ፣ መታየት
1338,የጥምቀት በዓል መች ይከበራል?,ጥር ፲፩ ቀን 
1339,ጌታችን ኢየሱስ ክርስቶስ በስንት ዓመተ ምህረት ተጠመቀ?,በ፴ ዓ/ም
1340,ጌታችን ኢየሱስ ክርስቶስ የት ተጠመቀ?,ፈለገ ዮርዳኖስ
1341,ጌታችን ኢየሱስ ክርስቶስ በማን ተጠመቀ?,በመጥምቁ ዮሐንስ እጅ
1342,የመጀመሪያው የዓለም ጦርነት ከመቼ እስከ መቼ ተካሄደ?,ከ ፲፱፻፮ ዓ/ም እስከ ፲፱፻፲፩ ዓ/ም መግቢያ
1343,የመጀመሪያው የዓለም ጦርነት ለስንት ዓመታት ተካሄደ?,ለአራት
1344,የመጀመሪያው የዓለም ጦርነት የተካሄደው በማን መካከል ነው?,በአውሮፓ አገሮች መኻል
1345,የደን በዓል ቀን መቼ ተጀመረ?,ከሐምሌ 9 ቀን 1948 ዓ.ም
1346,የምድር ባቡር መስመር መሰራት የተጀመረው ከስንት ዓ.ም ጀምሮ ነው ምን ያህል ጊዜስ ፈጀ?,በ፲፰፻፺ ዓ/ም ተጀምሮ ከሀያ ዓመታት በኋላ
1347,የምድር ባቡር መስመር ዝርጋት መቸተ ተጠናቀቀ?,በ ፲፱፱፻፲ ዓ/ም
1348,የምድር ባቡር መሰራት ዝርጋት ከስንት ዓመታት በኋላ ተጠናቀቀ?,ከሀያ
1349,በዳግማዊ ዓፄ ምኒልክ ዘመነ መንግሥት የዘውድ አማካሪ እና የአገሪቱን የውጭ ጉዳይ እስከ መምራት የደረሰው የስዊትዘርላንድ ዜጋ ማን ይባላል?,አልፍሬድ ኢልግ
1350,አልፍሬድ ኢልግ የምን ሀገር ዜጋ ነው?,የስዊትዘርላንድ
1351,አልፍሬድ ኢልግ በአገራችን ያስተዋወቀው ስልጣኔ ምንድን ነው?,በምሕንድስና ሙያው ባቡር እና የቧንቧ ውሐ
1352,አልፍሬድ ኢልግ ለሞት ያበቃው ምን ነበር?,ልብ ምታት 
1353,ንጉስ ምኒልክ ኢልግ እንዲሰራላቸው ያዘዙት ምን ነበር?,ጠመንጃ
1354,ኢልግ በደሞዘኝነት ተቀጥሮ ሲሰራ የነበረው የስራ ዘርፍ ምንድን ነው? ,በምሕንድስና ሥራ
1355,ኢልግ በደሞዘኝነት ተቀጥሮ ሲሰራ ደሞዙ ስንት ነበር?,በየወሩ ሰባት ወይም ስምንት ፓውንድ በጠገራ ብር
1356,አልፍሬድ ኢልግ በየት ሀገር ተወለደ?,በስዊትዘርላንድ
1357,አልፍሬድ ኢልግ መቼ ተወለዱ?,በ መጋቢት ወር  ፲፰፻፵፮ ዓ/ም
1358,ለመጀመሪያ ጊዜ የብር እና የወርቅ ሳንቲም መጠቀም የጀመሩት ማን ናቸው?,ልድያውያን
1359,የወረቀት ገንዘብ ለመጀመሪያ ጊዜ ጥቅም ላይ የዋለው በማን ነው?,በሶንግ ስርወ መንግስት
1360,የወረቀት ገንዘብ ለመጀመሪያ ጊዜ ጥቅም ላይ የዋለው በየት ሀገር ነው?,በቻይና
1361,በቻይና ለመጀመሪያ ጊዜ ጥቅም ላይ የዋለው የወረቀት ገንዘብ ምን ይባል ነበር?,ያወዚ
1362,አውሮጳ ውስጥ ለመጀመሪያ ጊዜ የወረቀት ገንዘብ ጥቅም ላይ የዋለው መቼ ነው?,በ1661
1363,አውሮጳ ውስጥ ለመጀመሪያ ጊዜ የወረቀት ገንዘብ ጥቅም ላይ የዋለው የት ሀገር ነው?,ስዊድን
1364,በቻይና የሶንግ ስርወ መንግስት ዘመን የሚባለው ከመቼ እስከ መቼ ነው ?,970 ዓ.ም. - 1276 ዓ.ም.)
1365,ቻይና 970 ዓ.ም. - 1276 ዓ.ም. ስትመረራ የነበረው በማን ስርወ መንግስት ነው?,በሶንግ
1366,በአንድ አገር ወይም ማህበረሰብ ውስጥ ለሸቀጥ እና አገልግሎት መግዢያ እንዲሁም እዳ መክፈያ የሚያገለግ ማንኛውም ነገር ሁሉ ምን ይባላል?,ገንዘብ
1367,የዘመናዊ ሀገር የገንዘብ አቅርቦት በስንት ይከፈላል?,በሁለት
1368,መንግስት እና የህዝብ አስተዳደር የተሰኘው መጽሐፍ በማን ተጻፈ?,በቢትወደድ ገብረ ሕይወት ባይከዳኝ
1369,መንግስት እና የህዝብ አስተዳደር የተሰኘው መጽሐፍ መቼ ተጻፈ?,በ፲፱፻፲፮ ዓ.ም
1370,ሰው ሲፈጠር ጌታ እና ደሀ ሆኖ  አልተፈጠረም ታዲያ ድህነት እና ጌትነት በምን ተለየ ?,በሰው ዕውቀት
1371,የሙዚቃ ትምህርት ቤት የተቋቋመው በማን ዘመነ መንግስት ነበር?,ግርማዊ ጃንሆይ በአልጋ ወራሽነታቸው 
1372,የሙዚቃ ትምህርት ቤት የተቋቋመው መቼ ነበር?,በ፲፱፻፲፮ ዓ.ም.
1373,ደቡብ አፍሪካ የፊፋ ዓለም ዋንጫን ያዘጋጀችው  በስንት ዓመተ ምህረት ነበር?,፳፻፪ ዓ.ም. 
1374,የመጀመሪያዋ አፍሪካዊ የፊፋ ዓለም ዋንጫን ያዘጋጀች ሀገር ማን ናት?,ደቡብ አፍሪካ
1375,በደቡብ አፍሪካ የተካሄደው ፲፱ኛው የፊፋ የዓለም ዋንጫ ከመቼ እስከ መቼ ተካሄደ?,ከሰኔ ፬ እስከ ሐምሌ ፬ ቀን ፳፻፪ ዓ.ም.
1376,ደቡብ አፍሪካ ስንተኛውን የፊፋ የዓለም ዋንጫ አዘጋጀች?,፲፱ኛው
1377,የ2010 ዓ.ም. የዓለም ዋንጫ አዘጋጅ ማን ናት?,ደቡብ አፍሪካ
1378,ደቡብ አፍሪካ የትኞቹን የአፍሪካ ሀገሮች በመብለጥ ነው የመጀመሪያዋ አፍሪካዊ የአለም ዋንጫ አዘጋጅ ለመሆን የበቃችው?,ግብፅና ሞሮኮን
1379,ደቡብ አፍሪካ ባዘጋጀችው የአለም ዋንጫ የፍፃሜ ጨዋታው የት ስታዲየም ተካሄደ?,ሶከር ሲቲ 
1380,በደቡብ አፍሪካ በየተካሄደው የአለም ዋንጫ የፍፃሜ ጨዋታ የዳኙት እንግሊዛዊ ዳኛ ማን ይባላሉ?,ሀዋርድ ዌብ
1381,የፊፋ የዳኞች ኮሚቴ ለደቡብ አፍሪካ ዋንጫ ከኮንካፍ ስንት ዳኞችን መረጠ?,፳፱
1382,የጎፋ ብሔረሰብ ቋንቋ ምን በመባል ይጠራል ከየትኛው የ ቋንቋ ቤተሰብ ነው?,ጎፍኛ
1383,የጎፋ ብሔረሰብ ቋንቋ የምን ቤተሰብ ነው?,ከማዕከላዊ ኦማዊ
1384,የጎፋ ብሔረሰብ ህዝብ በ1999ዓ.ም በተደረገው የቤት ቆጠራ ምን ያህል ነበሩ?,363ሺ9
1385,የጎፋ ብሔረሰብ ዋና የሃብት መሰረቱ ምንድን ነው?,ጥምር ግብርና
1386,የጥንቱ ጎፋ ግዛት ስር የነበሩ ክልሎች እንዴት ይተዳደሩ ነበር?,በሰባት የካዎ (ነጉሥ) ግዛቶች ተከፋፍለው
1387,በጎፋ ብሔረሰብ ባህላዊ አስተዳደሩ ቁንጮ፣ ከእርሱ ቀጥሎ የሚገኙትን ባለሥልጣናትና አማካሪዎችን የመሾምና የመሻር ሥልጣን ያለው ማነው?,ካዎ (ንጉሥ)
1388,የጎፋ ብሔረሰብ ለጋብቻ የሚሆን እድሜ ከስንት ጀምሮ ነው?,ወንዶች ከ17-25፤ ሴቶች ደግሞ ከ14-19 
1389,በጎፋ ብሔረሰብ ሳታገባ የቆየች ሴት የራሷን ንብረት በመያዝ ወደ ወንዱ ቤት በፈቃዷ ሄዳ በመግባት የሚፈጸም የጋብቻ ዓይነት ምንድን ይባላል?,ወዶ ገብ ጋብቻ
1390,በጎፋ ብሔረሰብ ሚስት ከሞተች እህቷ ወይም የቅርብ ዘመዷ በምትክ ሚስትነት የምትሰጥበት የጋብቻ ዓይነት ምን ይባላል?,የምትክ ጋብቻ
1391,የጎፋ ብሔረሰብ ባህላዊ ምግብ ምንድን ነው?,ሸንዴራ
1392,የኮንታ ብሔረሰብ የአፍ መፍቻ ቋንቋ ምንድን ነው?,ኮንቲኛ
1393,በኮንታ ብሔረሰብ ስንት አይነት ጋብቻ አለ?,ስድስት
1394,የኮንታ ብሔረሰብ የሙዚቃ መሣሪያዎች ለምን አገልግሎት ይውላሉ?,ለለቅሶና ለደስታ
1395,የኮንታ ብሔረሰብ ባህላዊ ምግብ ምንድን ነው?,ሱልሶ፣ ሲሊሶ፣ ኡስታ፣ ጨዲያ፣ ኩበዋ፣ ቦሩዋ (ዱቢያ) እና ባጨራ
1396,ለወደፊቱ የሚመጣን ገቢና ወጪ የሚተነብይ የንዋይ ወይም የገንዘብ እቅድ ምን ይባላል?,በጀት
1397,አንድ ግለሰብ ዕዳ ውስጥ እየገባ መሆኑን መረዳት ሲጀመር መጀመሪያ ምን ማረግ አለበት?,የዕዳውን አይነት መለየት
1398,ባለ እዳ ግለሰብ የኮንሶሊዴሽንን ወይም የሪፋይናንሲንግን እድሎችን ካላገኘ ሊያገኛቸው የሚችላቸው አማካሪዎች ማን ይባላሉ?,ዴቢት ስፔሻሊስት
1399,በኢትዮጵያ የሕግ ባለሙያ እና የአካል ጉዳተኛ መብትቶች ተሟጋች ማን ትባላለች?,የትነበርሽ ንጉሴ
1400,የትነበርሽ ንጉሴ የአይን ብርሃኗን ያጣችው መቼ ነው?,በ 5 ዓመቷ
1401,የትነበርሽ ንጉሴ የመጀመሪያ ደረጃ ትምህርቷን የት ተከታተለች?,በሻሸመኔ ካቶሊክ የዓይነ ስውራን \xa0ት/ቤት
1402,የትነበርሽ ንጉሴ ሁለተኛ ደረጃ ትምህርቷን የት ተከታተለች?,ዳግማዊ \xa0ምኒልክ ከፍተኛ ሁለተኛ ደረጃ ትምህርት ቤት
1403,የትነበርሽ ንጉሴ የመጀመሪያ ዲግሪዋን በምን የትምህርት ዘርፍ ተመረቀች?,በሕግ
1404,የትነበርሽ ንጉሴ ሁለተኛ ዲግሪዋን በምን የትምህርት ዘርፍ ተመረቀች?,በማኅበራዊ ሥራ 
1405,የትነበርሽ በ2006ዓ.ም የምን ማህበር መሰረተች?,የአዲስ አበባ ዩኒቨርስቲ (አአዩ) ሴት ተማሪዎች ማህበር
1406,ፐርል በክ  የመቃብር ስፍራ ስሙ ምን በመባል ይታወቃል?,ፔንሲልቬንያ 
1407,ፐርል በክ የመጀመሪያ ጋብቻዋን የፈጸመችው መቼ ነው?,በ1917
1408,ፐርል በክ የመጀመሪያ ድርሰቷ የት ኩባንያ ውስጥ ታተመላት?,በጆን ዴይ ኩባንያ
1409,የፐርል በክ የትውልድ ስፍራ ምን ተብሎ ይጠራል?,በምእራብ ቨርጂኒያ ሂልዝቦሮ
1410,ፐርል በክ የመጀመሪያ ድርሰቷ የት ኩባንያ ውስጥ ታተመላት?,በጆን ዴይ ኩባንያ
1411,አሜሪካዊት ደራሲ ፐርል በክ በስነ-ጽሁፍ የኖቤል ተሸላሚ የሆነችው በስንት ዓመተ ምህረት ነው?,1938
1412,የፐርል በክ የመጀመሪያው ወጥ ልብ-ወለድ ድርሰቷ ርዕሱ ምን ይባላል?,"East Wind, West Wind"
1413,ፐርል በክ ሁለተኛ ወጥ ልብ-ወለድ ድርስት ርዕስ ምን ይባላል?,ስሙር መሬት
1414,ፐርል በክ የመጀመሪያ ድርሰቷ መቼ ታተመላት?,በ1930
1415,የፐርል በክን ሁለተኛ ወጥ ልብ-ወለድ መጽሐፍ መቼ ታተመ?,በ1931 
1416,ፐርል በክ የተወለደችው መቼ ነው?,ጁን 26 ቀን 1982 ዓ.ም
1417,በስነ-ጽሁፍ የኖቤል ሽልማትን በመቀበል የመጀመሪያዋ ሴት አሜሪካዊት ማን ትባላለች?,ፐርል በክ
1418,ፐርል በክ የስነ-ጽሑፍ ስራዎቿን ማሳተም የጀመረችው ከስንት ዓመተ ምህረት ጀምሮ ነው?,ከ1920ዎቹ ጀምራ
1419,ፐርል በክ የሥነ-ጽሁፍ ስራዋ ጉልላት ለመሆን የበቃውን የመጽሐፉ ርዕስ ምን ይባላል?,ስሙር መሬት (The Good Earth)
1420,የጆን ዴይ ኩባንያ አሳታሚ የነበረው በ1935 የፐርል በክ ሁለተኛ ባሏ ለመሆን የበቃው ማን ይባላል?,ሪቻርድ ዋልሽ
1421,የፐርል በክ የፑሊትዘር ሽልማት እና የሃዌልስ ሜዳልያ ያገኘችው በስንት ዓመተ ምህረት ነበር?,በ1935 ዓ.ም
1422,ስሙር መሬት  በኤም.ጂ.ኤም አማካይነት በፊልም መልክ ተቀናብሮ ለተመልካች ለዕይታ የበቃው መቼ ነበር?,በ1937 ዓ.ም
1423,ፐርል በክ ከ70 በላይ ስራዎቿን ለንባብ አቅርባ ከዚህ ዓለም በሞት የተለየችው መቼ ነው?,በ1973 ዓ.ም
1424,አማ አታ አዪዶ ክሪስቲና የትውልድ ቦታዋ ት ሀገር ነው?,ጋና
1425,አማ አታ አዪዶ ክሪስቲና መቼ ተወለደች?,በማርች 23፣ 1942 እ.ኤ.አ
1426,አማ አታ አዪዶ ክሪስቲና የመጀመሪያ ድርሰቷ በ1965 ያሳተመላት ድርጅት ማን ይባላል?,በሎንግማን አሳታሚ ድርጅት
1427,አማ አታ አዪዶ ክሪስቲና  ከልብ-ወለድ ደራሲነት በተጨማሪ እውቅናን ያተረፈችው በምንድነው?,በጸሃፌ-ተውኔትነት እና ገጣሚነትም
1428,አማ አታ አዪዶ ክሪስቲና ጽሁፎቿ በአብዛኛው የሚያተኩሩት ምን ላይ ነው?,የዘመኑ የአፍሪካ ሴቶች ስላላቸው ሚና
1429,አማ አታ አዪዶ ክሪስቲና የመጀመሪያ ዲግሪዋን በእንግሊዝኛ ቋንቋ ያገኘችው በስንት ዓመተ ምህረት ነው?,በ1964 ዓ.ም
1430,አማ አታ አዪዶ ክሪስቲና  የመጀመሪያ የድርሰት ስራዋ ርዕሱ ምን ይባላል?,The Dilemma of a Ghost
1431,አማ አታ አዪዶ ክሪስቲና የጋና የትምህርት ሚኒስትር ሆና የተሸመችው በስንት ዓመተ ምህረት ነው?,በ1982
1432,በ፲፭ኛው መቶ ዓ.ም. መንግሥታት እንደ ኃያላን መንግሥታት ከሚቆጠሩት ውስጥ የፖርቱጋል መንግሥት ከሌሎቹ የሚለየው በምን ነበር?,መርከብና አገር በመያዝ
1433,በመርከብ እየሄዱ ለመከላከል ጉልበት የሌለውንና በጠባዩ ሀብት ያለበትን አገር በመርምረው ብዙ ሀገራትን ሲይዙ በመርማሪነት የሚልኳቸው እነማንን ነበር?,እነቫስኮ ደጋማ፤ እነፔሬዝ፤ እነአንድራድ፤ እነካብራል
1434,ብራዚል በፖርቹጋል ቅኝ ሀገር የሆነችው መቼ ነው?,በሚያዝያ ፳፩ ቀን ፲፭፻ እ.ኤ.አ
1435,የፖርቱጋል መኮንን የሆነው በትልቅ መርከብ ሄዶ በራዚልን ቅኝ ሀገር እንድትሆን ያደረጋት ሰው ማን ይባላል?,ፔድሮ አልቫሬዝ ካብራል
1436,የመጀመሪያ የንጉሥ እንደራሴ የተባለው ሰው ሙሉ ስሙ ማን ይባላል?,ፍራንቼስኮ ዳልሜዳ
1437,የመጀመሪያ የንጉሥ እንደራሴ የተባለው ፍራንቼስኮ ዳልሜዳ የያዛት ሀገር ማን ትባላለች?,ህንድ
1438,በትልቁ ውቅያኖስ ውስጥ የሚገኙትን ደሴቶች እነማን ናቸው?,ኑቤል ጉኔንና ዛሬ ፊሊፒን 
1439,ግሪክን በሰሜን ወገን የምታዋስናት ሀገር ማን ትባላለች?,መቄዶንያ 
1440,በኣብዛኛው በባሕር የታጠረ ነው ወደ ሜዴቴሪኒያን ባሕር የተዘረጋች ሀገር ማን ትባላለች?,ግሪክ 
1441,ግሪክ በግዘቷ ውስጥ አያሌ ደሴቶቿ በየትኛው ወገን ይገኛሉ?,በደቡብና በምሥራቅ 
1442,ግሪክ በደሴቶቿ ከሰራቻቸው ከተሞች መካከል የሆነው ከተማ ማን ይባላል?,አንቲፖሮስ 
1443,የግሪክ ደሴቶች ከባሕር ወደ ውጪ እዲወረወሩ እና እንዳይታዩ ያደረጋቸው ኃይል ምንድን ነው?,እሳተ ገሞራ
1444,በግሪክ ደን ውስጥ የሚገኘው ጠንካራ ዛፍ ስሙ ማን ይባላል?,ፓይን (ጥድ)
1445,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ መቼ ተወለደ?,በኖቬምበር 1835 ዓ.ም.
1446,ከትዳር አጋሩ ጋር ኑሮውን ለ17 ዓመታት ያሳለፈባት ግዛት ማን ትባላለች?,ኮኔቲከት 
1447,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ የብእር ስሙ ማን ይባላል?,ማርክ ትዌይን
1448,የአሜሪካ የእርስ-በርስ ጦርነት የተቀሰቀሰው በስንት ዓመተ ምህረት ነበር?,በ1861 እ.ኤ.አ.
1449,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ የተወለደባት የአሜሪካ ግዛት ማን ትባላለች?,ሚዙሪ 
1450,ማርክ ትዌይን  በአባቱ ሞት ምክንያት ትምህርቱን በማቋረጥ በማተሚያ ቤት በሰልጣኝነት የተቀጠረው መቼ ነበር?,በ1847 
1451,ማርክ ትዌይን የማተሚያ ቤት ስራውን ትቶ  በ1857 የተሰማራው በምን ስራ ላይ ነው?,የእንፋሎት ጀልባ ነጂ
1452,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ የመጀመሪያ ስራውን ያሳተመው መቼ ነበር?,በ1869 ዓ.ም
1453,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ የመጀመሪያ ስራው የሆነው የመጽሐፍ ርዕሱ ምን ይባላል?,The Innocents Abroad
1454,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ በ1870 ዓ.ም በትዳር የተጣመራት እንስት ማን ትባላለች?,ኦሊቭያ ላንግዶንን
1455,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ ብዙ አድናቆትን ያገኙ ድርሰቶችን ጽፏል ይበልጥ አድናቆትን ያገኘለት የመጽሀፍ ርዕስ ምን ይባላል?,The Adventures of Huckleberry Finn
1456,ማርክ ትዌይን ሳሙኤል ላንግሆርን ክሌመንስ በርካታ ስራዎችን አበርክቶ በስንት ዓመተ ምህረት አረፈ?,በ1910 ዓ.ም
1457,ዓረብኛ ዓረብኛ ከየትኛው  ቋንቋዎች ቤተሠብ ውስጥ ይመደባል?,የሴማዊ 
1458,ለዓረብኛ ቋንቋ የቅርብ ዘመድ ተብለው ከሚጠቀሱት ቋንቋዎች መካከል መን ይገኛል?,የአማርኛ 
1459,፪፻፶ (250) ሚሊዮን የሚያሕሉ ሰዎች እንደ እናት ቋንቋ የሚጠቀሙት ቋንቋ ማን ይባላል?,ዓረብኛ 
1460,እስላሞች በብዛት የሚናገሩት የዓረብኛን ለምን እንደ ቅዱስ ቋንቋ ይቆጥሩታል?,አላህ ለሙሐማድ ቁርዓንን ሲገልጽ በዓረብኛ እንደ ሆነ ስለሚያምኑ
1461,ዓረብኛ ቋንቋ የሚጻፈው በምን ፊደል ነው?,በዓረብኛ 
1462,አብዛኛው ዓረብኛ ቋንቋ ተናጋሪዎች የትኛውን እምነት ተከታዮች ናቸው?,ሙስሊሞች 
1463,እንግሊዝ፣ ስኮትላንድና ዌልስ አብረው በመሆን የፈጠሯት ደሴት ማን በመባል ትታወቃለች?,ታላቋ ብሪታንያ
1464,ዩናይትድ ኪንግደም ማለት ምን ማለት ነው?,የተባበረው ግዛት
1465,እንግሊዝና ስኮትላንድ ተዋህደው «ዩናይትድ ኪንግደም» የፈጠሩት መቼ ነው?,በ1699
1466,ዓ.ም. (1707 እ.ኤ.አ.) አስቀድሞ፣ እንግሊዝና ስኮትላንድ ከተለያዩ ንጉሳት አስተዳደር ወጥተው በአንድ መተዳደር የጀመሩት በስንት ዓመተ ምህረት ነው?,ከ1595 ዓ.ም
1467,ብርሃንና ሰላም ጋዜጣ የተመሰረተው መቼ ነው?,፲፱፻፲፯ ዓ/ም
1468,የእንግሊዝ ሠራዊት በአሜሪካ ቁጥጥር ስር የነበረችወን የክዌቤክ ከተማን መቼ አስመለሰ?,፲፯፻፷፰ ዓ/ም
1469,በሀይቲ ደሴት ላይ የነበረው የፈረንሳይ ሉዐላዊነት ያከተመው በስንት ዓመተ ምህተት ነው?,፲፯፻፺፮ ዓ/ም
1470,በባርነት የተገዙ ሰዎች ወደ አሜሪካ ኅብረት እንዳይገቡ የሚከለክል ሕግ የተደነገገ መቼ ነው?,፲፰፻ ዓ/ም
1471,ኢትዮጵያ ለመጀመሪያ ጊዜ ወደጃፓን የ፩ሚሊዮን ፱መቶ ሺ ኪሎ የመዳብ ሽያጭ የላከች መቼ ነው?,፲፱፻፷፮ ዓ/ም 
1472,ኢትዮጵያ ወደ ጃፓን ለመጀመሪያ ጊዜ የላከችው መዳብ የተገኘው የት ነው?,የድባሮ መዳብ ማዕድን
1473,የኢትዮጵያ የጊዜያዊ ወታደራዊ መንግሥት ባንኮችንና የኢንሹራንስ ኩባንያዎችን የብሔራዊ ንብረት አድርጎ የወረሰው መቼ ነው?,፲፱፻፷፯ ዓ/ም
1474,ጋናዊው ዲፕሎማት ኮፊ አናን የተባበሩት መንግሥታት ድርጅት ዋና ጸሐፊ ሆነው የተሸሙት መቼ ነው?,፲፱፻፹፱ ዓ/ም
1475,ጋናዊው ዲፕሎማት ኮፊ አናን የተባበሩት መንግሥታት ድርጅት ስንተኛው ዋና ጸሐፊ ሆነው ናቸው?,፯ተኛው
1476,ከሕንድ የተነሱ ሃይማኖት ምን በመባል ይታወቃሉ?,ሒንዱኢዝም
1477,አብርሃማዊ ሃይማኖቶች  ተብለው የሚታወቁት የትኞቹ ሃይማኖቶች ናቸው?,ክርስትና፣ እስልምና፣ አይሁድና
1478,የአሜሪካ 32ኛ ፕሬዚዳንት የነበሩት ማን ይባላሉ?,ፍራንክሊን ዴላኖ ሮዘቨልት
1479,ሮዘቨልት ወደ ፕሬዝዳንትነት ከመምጣታቸው ቀድሞ ገለግሉት የነበረው ምን ላይ ነው?,የባሕር ኅይል ምክትል ሚኒስትር
1480,ፍራንክሊን ዴላኖ ሮዘቨልት የኒው ዮርክ አገረ ገዥ የሆኑት መቼ ነው?,በ1920 ዓ.ም.
1481,ፍራንክሊን ዴላኖ ሮዘቨልት ሁቨርን አሸንፈው የአሜሪካ ፕሬዝዳንት የሆኑት መቼ በተካሄደው ምርጫ ነው?,በ1925 ምርጫ
1482,ፍራንክሊን ዴላኖ ሮዘቨልት በተከታታይ በማሸነፍ የአሜሪካ ፕሬዝዳንት ሲሆኑ ለመጨረሻጊዜ ያሸነፉት ምርጫ በስንት ዓመተ ምህረት የተደረገውን ነው?,በ1933 ምርጫ
1483,ፍራንክሊን ዴላኖ ሮዘቨልት አሜሪካንን ለስንት ዘመኖች በፕሬዝዳንትነት መርተዋል?,4 ዘመኖች
1484,በ2ኛ አለማዊ ጦርነትም ወቅት አሜሪካን ይመሩ የነበሩት የአሜሪካ መሪ ማን ይባላሉ?,ፍራንክሊን ዴላኖ ሮዘቨልት
1485,ፍራንክሊን ዴላኖ ሮዘቨልት ለአካለ ስንኩልነት የዳረጋቸው በሽታ ምን ነበር?,ፖሊዮ 
1486,ፍራንክሊን ዴላኖ ሮዘቨልት ሲሞቱ ቦታውን የተረከቧቸው ምክትላቸው ማን ይባላሉ?,ሃሪ ትሩማን 
1487,የአሜሪካ ፕሬዚዳንቶች ከ2 ጊዜ (እነሱም 8 አመታት) በላይ ሊያገለግሉ አይችሉም የሚለው የአሜሪካ ሕገ መንግሥት 22ኛ ማሻሻያ አንቀጽ ሕጋዊ ደንብ የሆነው መቼ ነው?,በ1943 ዓ.ም. 
1488,ፔኒሲሊንን ያገኘው የብሪታኒያ ተወላጁ ማን ይባላል?,አሌክሳንደር ፍሌሚንግ
1489,፲፰፻፷፰ ዓ/ም ለመጀመሪያ ጊዜ በስልክ ረዳቱን አነጋገረ ሰው ማን ይባላል?,አሌክሳንደር ግራሃም ቤል
1490,የኢትዮጵያ አርበኞችና የፋሺስት ኢጣሊያ ወገኖች ጦር ውጊያ የተካሄደው መቼ ነው?,፲፱፻፳፱ ዓ/ም
1491,ከኮንጎ የመጣ የቤልጅግ ሠራዊት የጣልያንን ሠራዊት አሸንፎ ፩ሺ፭፻ ወታደሮች በመማረክ አሶሳን የያዘው መቼ ነው?,፲፱፻፴፫ ዓ/ም
1492,በ፲፱፻፵፱ ዓ/ም የአሜሪካ ምክትል ፕሬዚዳንት ሆነው ኢትዮጵያን የጎነኙት ማን ይባላሉ?,ሪቻርድ ኒክሰን
1493,ኢትዮጵያ እና ሱዳን ድንበራቸውን የሚወስን የጋራ ጉባዔ ለመመሥረት መወሰናቸውን ያሳወቁት መቼ ነው?,፲፱፻፷፭ ዓ/ም
1494,በኢትዮጵያ ርዕሰ ከተማ፣ አራት ኪሎ ላይ በሰላማዊ ሰልፍ የወጡ ተማሪዎችን ፖሊሶች በጢስ ቦምብ እና በዱላ የበታተናቸው መቼ ነው?,፲፱፻፷፭ ዓ/ም
1495,ተማሪዎቹ ለተቃውሞ ሰልፍ በመውጣት የጠቅላይ ሚኒስትር አክሊሉ ሀብተ-ወልድን ምን አቃጠሉ?,የአሻንጉልት ምስል
